구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
일산서구,대화동,포레나킨텍스,1100,2019.02,129.05,93.50,39.03,141000,"14억 1,000만 원",147500,135000,경기도 고양시 일산서구 킨텍스로 240,31020
종로구,견지동,종로1가대성스카이렉스,54,2008.06,179.61,149.80,54.33,140000,14억,150000,130000,서울특별시 종로구 삼봉로 95,21115
종로구,견지동,종로1가대성스카이렉스,54,2008.06,181.59,149.72,54.93,140000,14억,150000,130000,서울특별시 종로구 삼봉로 95,21115
종로구,내수동,파크팰리스,142,2003.11,130.38,103.77,39.43,160000,16억,165000,150000,서울특별시 종로구 사직로8길 20,12376
종로구,무악동,경희궁롯데캐슬,195,2019.06,82.99,59.67,25.10,150000,15억,165000,140000,서울특별시 종로구 통일로 230,34962
종로구,무악동,무악현대,964,2000.10,109.88,84.92,33.23,142500,"14억 2,500만 원",147500,130000,서울특별시 종로구 통일로 246-20,2489
종로구,무악동,무악현대,964,2000.10,141.72,114.90,42.87,148000,"14억 8,000만 원",155000,139000,서울특별시 종로구 통일로 246-20,2489
종로구,무악동,인왕산2차아이파크,167,2015.08,108.26,84.06,32.74,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,108.29,84.24,32.76,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,108.37,84.02,32.78,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,108.49,84.23,32.81,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,108.66,84.02,32.86,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,108.81,84.74,32.91,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,108.86,84.49,32.93,141000,"14억 1,000만 원",145000,133500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,144.26,112.53,43.64,149000,"14억 9,000만 원",153000,142500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산2차아이파크,167,2015.08,144.52,112.81,43.71,149000,"14억 9,000만 원",153000,142500,서울특별시 종로구 통일로18길 34,28194
종로구,무악동,인왕산아이파크,810,2008.07,109.08,84.85,32.99,150000,15억,157000,140000,서울특별시 종로구 통일로18길 9,15251
